District ,Français (réel)
Palacio,426
Embajadores,998
Cortes,276
Justicia,558
Universidad,718
Sol,234
Imperial,109
Acacias,135
Chopera,110
Legazpi,82
Delicias,169
Palos de la Frontera,204
Atocha,16
Pacífico,144
Adelfas,88
Estrella,69
Ibiza,239
Los Jerónimos,108
Niño Jesús,65
Recoletos,351
Goya,459
Fuente del Berro,242
Guindalera,340
Lista,224
Castellana,372
El Viso,170
Prosperidad,276
Ciudad Jardín,187
Hispanoamérica,208
Nueva España,160
Castilla,72
Bellas Vistas,146
Cuatro Caminos,184
Castillejos,146
Almenara,75
Valdeacederas,116
Berruguete,118
Gaztambide,198
Arapiles,208
Trafalgar,344
Almagro,265
Ríos Rosas,188
Vallehermoso,115
El Pardo,1
Fuentelarreina,7
Peñagrande,95
Pilar,61
La Paz,50
Valverde,187
Mirasierra,116
El Goloso,48
Casa de Campo,72
Argüelles,256
Ciudad Universitaria,76
Valdezarza,79
Valdemarín,23
El Plantío,6
Aravaca,109
Los Cármenes,40
Puerta del Ángel,224
Lucero,61
Aluche,65
Campamento,13
Cuatro Vientos,3
Águilas,27
Comillas,58
Opañel,55
San Isidro,67
Vista Alegre,40
Puerta Bonita,28
Buenavista,38
Abrantes,25
Orcasitas,13
Orcasur,13
San Fermín,28
Almendrales,38
Moscardó,33
Zofío,8
Pradolongo,23
Entrevías,28
San Diego,71
Palomeras Bajas,45
Palomeras Sureste,35
Portazgo,24
Numancia,67
Pavones,4
Horcajo,25
Marroquina,28
Media Legua,25
Fontarrón,16
Vinateros,18
Ventas,130
Pueblo Nuevo,127
Quintana,137
La Concepción,122
San Pascual,65
San Juan Bautista,270
Colina,86
Atalaya,25
Costillares,91
Palomas,278
Piovera,1442
Canillas,646
Pinar del Rey,171
Apóstol Santiago,57
Valdefuentes,443
"Villaverde Alto, Casco Histórico de Villaverde",48
San Cristóbal,13
Butarque,27
Los Rosales,30
Ángeles,24
Casco Histórico de Vallecas,24
Santa Eugenia,25
Ensanche de Vallecas,74
Vicálvaro,106
Casco Histórico de Vicálvaro,30
Valdebernardo,38
Valderrivas,21
El Cañaveral,17
Simancas,123
Hellín,14
Amposta,3
Arcos,18
Rosas,65
Rejas,65
Canillejas,98
El Salvador,154
Alameda de Osuna,127
Aeropuerto,0
Casco Histórico de Barajas,20
Timón,76
Corralejos,78